`title`,`word_count`,`unique_word_count`,`longest_word`
`Your Mother Should Know`,`168`,`29`,`before`
`Good Morning Good Morning`,`197`,`103`,`everything`
`Baby's In Black`,`175`,`44`,`dressed`
`Yesterday`,`79`,`56`,`yesterday`
`Don't Pass Me By`,`171`,`87`,`a'ticking`
`I Want You (she's So Heavy)`,`18`,`11`,`driving`
`I'll Be Back`,`148`,`59`,`surprise`
`Yer Blues`,`144`,`61`,`suicidal`
`I'll Cry Instead`,`145`,`92`,`shoulder`
`Drive My Car`,`206`,`67`,`understood`
`While My Guitar Gently Weeps`,`131`,`56`,`controlled`
`Baby You're A Rich Man`,`174`,`66`,`beautiful`
`Get Back`,`208`,`73`,`california`
`You're Going To Lose That Girl`,`311`,`52`,`tonight`
`Mean Mr. Mustard`,`81`,`55`,`go-getter`
`Paperback Writer`,`167`,`82`,`understand`
`In My Life`,`115`,`67`,`remember`
`Tell Me What You See`,`185`,`61`,`through`
`Golden Slumbers`,`78`,`30`,`lullabye`
`A Day In The Life`,`199`,`118`,`downstairs`
`Michelle`,`132`,`53`,`understand`
`Think For Yourself`,`191`,`75`,`yourself`
`I Wanna Be Your Man`,`161`,`17`,`understand`
`Magical Mystery Tour`,`183`,`28`,`satisfaction`
`Mother Nature's Son`,`56`,`48`,`everyone`
`If I Needed Someone`,`140`,`54`,`thinking`
`Carry That Weight`,`66`,`24`,`celebrations`
`Dig It`,`63`,`30`,`rolling`
`When I'm Sixty-four`,`184`,`113`,`grandchildren`
`Because`,`54`,`22`,`because`
`I'm Happy Just To Dance With You`,`229`,`60`,`discovered`
`Good Day Sunshine`,`113`,`58`,`something`
`All You Need Is Love`,`208`,`49`,`everybody`
`Blackbird`,`124`,`35`,`blackbird`
`All I've Got To Do`,`154`,`42`,`whenever`
`Piggies`,`110`,`65`,`everywhere`
`No Reply`,`167`,`70`,`telephone`
`Yellow Submarine`,`219`,`73`,`introduction:`
`Come Together`,`154`,`78`,`roller-coaster`
`She's Leaving Home`,`222`,`128`,`thoughtlessly`
`Honey Pie`,`136`,`79`,`hollywood`
`The Fool On The Hill`,`123`,`67`,`perfectly`
`P.s. I Love You`,`156`,`38`,`treasure`
`I Saw Her Standing There`,`172`,`67`,`standing`
`You've Got To Hide Your Love Away`,`111`,`63`,`everywhere`
`Sun King`,`44`,`31`,`phoenetically`
`The Word`,`193`,`57`,`misunderstood`
`Helter Skelter`,`230`,`60`,`skelter`
`Something`,`125`,`49`,`something`
`When I Get Home`,`161`,`64`,`trivialities`
`Within You Without You`,`152`,`93`,`yourself-then`
`I Want To Tell You`,`137`,`67`,`understand`
`Run For Your Life`,`230`,`64`,`everything`
`Any Time At All`,`154`,`56`,`sympathize`
`Tomorrow Never Knows`,`101`,`49`,`existence`
`And I Love Her`,`102`,`46`,`ev'rything`
`She Said She Said`,`176`,`50`,`everything`
`Dig A Pony`,`168`,`50`,`ev'rything`
`We Can Work It Out`,`235`,`80`,`straight`
`Being For The Benefit Of Mr. Kite!`,`142`,`88`,`bishopsgate`
`Hold Me Tight`,`173`,`40`,`to-night`
`Love You To`,`86`,`67`,`lifetime`
`Strawberry Fields Forever`,`192`,`66`,`misunderstanding`
`Another Girl`,`206`,`70`,`somebody`
`I'm Down`,`181`,`52`,`yourself`
`Polythene Pam`,`71`,`43`,`killer-diller`
`Martha My Dear`,`137`,`58`,`conversation`
`Ob-la-di, Ob-la-da`,`152`,`84`,`molly-girl`
`Back In The U.s.s.r`,`183`,`95`,`balalaika's`
`The Ballad Of John & Yoko`,`308`,`139`,`southampton`
`With A Little Help From My Friends`,`225`,`84`,`somebody`
`One After 909`,`191`,`61`,`travelling`
`Across The Universe`,`159`,`82`,`possessing`
`Her Majesty`,`61`,`31`,`majesty's`
`You Never Give Me Your Money`,`144`,`85`,`investigation`
`From Me To You`,`185`,`40`,`everything`
`I'm So Tired`,`127`,`73`,`everything`
`What Goes On`,`214`,`74`,`someone`
`Ticket To Ride`,`259`,`57`,`bringing`
`Savoy Truffle`,`161`,`83`,`montelimat`
`I've Got A Feeling`,`119`,`69`,`wondering`
`The Continuing Story Of Bungalow Bill`,`139`,`73`,`bullet-headed`
`Can't Buy Me Love`,`142`,`52`,`everybody`
`Revolution`,`178`,`77`,`constitution`
`Wild Honey Pie`,`9`,`5`,`honey`
`Eleanor Rigby`,`171`,`80`,`mckenzie`
`Ask Me Why`,`176`,`60`,`understand`
`Let It Be`,`240`,`62`,`standing`
`I Feel Fine`,`166`,`42`,`telling`
`Hello Goodbye`,`223`,`29`,`goodbye`
`This Boy`,`109`,`54`,`cry-hi-hi`
`Why Don't We Do It In The Road`,`22`,`14`,`watching`
`You Can't Do That`,`162`,`71`,`ev'rybody's`
`I'm Only Sleeping`,`187`,`74`,`everywhere`
`I'll Follow The Sun`,`123`,`40`,`tomorrow`
`It's All Too Much`,`205`,`73`,`everywhere`
`Don't Let Me Down`,`146`,`41`,`somebody`
`There's A Place`,`100`,`42`,`tomorrow`
`Lucy In The Sky With Diamonds`,`159`,`87`,`kaleidoscope`
`Love Me Do`,`110`,`19`,`somebody`
`Little Child`,`93`,`43`,`someone`
`Penny Lane`,`222`,`103`,`photographs`
`Maxwell's Silver Hammer`,`214`,`114`,`metaphysical`
`Rain`,`156`,`56`,`everything's`
`Maggie Mae`,`53`,`43`,`liverpool`
`And Your Bird Can Sing`,`106`,`50`,`possessions`
`Got To Get You Into My Life`,`202`,`74`,`suddenly`
`I Will`,`111`,`64`,`lifetime`
`Blue Jay Way`,`190`,`66`,`themselves`
`Birthday`,`94`,`27`,`birthday`
`You Won't See Me`,`207`,`80`,`wouldn't`
`Getting Better`,`157`,`74`,`changing`
`Cry Baby Cry`,`217`,`72`,`childrens`
`For No One`,`186`,`78`,`kindness`
`Flying`,`0`,`0`,``
`Tell Me Why`,`173`,`65`,`ev'rything`
`Day Tripper`,`106`,`41`,`tripper`
`Sgt. Pepper's Lonely Hearts Club Band`,`164`,`88`,`guaranteed`
`Things We Said Today`,`180`,`70`,`dreaming`
`I've Just Seen A Face`,`188`,`67`,`tonight`
`Misery`,`121`,`60`,`remember`
`Eight Days A Week`,`114`,`42`,`enough`
`She Came In Through The Bathroom Window`,`121`,`66`,`department`
`Norwegian Wood (This Bird Has Flown)`,`113`,`68`,`norwegian`
`Hey Bulldog`,`114`,`62`,`understands`
`Sgt. Pepper's Lonely Hearts Club Band (reprise)`,`79`,`32`,`sergeant`
`Revolution 9`,`0`,`0`,``
`I Call Your Name`,`84`,`44`,`mayayake`
`Good Night`,`104`,`32`,`everywhere`
`Not A Second Time`,`56`,`40`,`wond'ring`
`Taxman`,`133`,`66`,`thankful`
`Revolution 1`,`192`,`77`,`constitution`
`It Won't Be Long`,`136`,`56`,`ev'rybody`
`Here, There And Everywhere`,`162`,`65`,`everywhere`
`Rocky Raccoon`,`231`,`134`,`somewhere`
`I'm Looking Through You`,`161`,`63`,`disappearing`
`She's A Woman`,`176`,`50`,`everything`
`Wait`,`212`,`56`,`heart's`
`Glass Onion`,`127`,`74`,`everything`
`Please Please Me`,`121`,`49`,`complainin`
`I Me Mine`,`154`,`36`,`frightened`
`The Night Before`,`189`,`46`,`remember`
`All My Loving`,`85`,`40`,`tomorrow`
`I Need You`,`115`,`67`,`remember`
`The End`,`27`,`20`,`tonight`
`I Should Have Known Better`,`85`,`40`,`everything`
`Hey Jude`,`199`,`80`,`nanananaaa`
`Fixing A Hole`,`162`,`68`,`colourful`
`Every Little Thing`,`155`,`57`,`everybody's`
`Happiness Is A Warm Gun`,`149`,`83`,`multicoloured`
`Sexy Sadie`,`166`,`60`,`everything`
`She Loves You`,`227`,`57`,`sho-o-ould`
`Lovely Rita`,`145`,`89`,`discreetly`
`Don't Bother Me`,`200`,`72`,`because`
`For You Blue`,`121`,`48`,`morining`
`Two Of Us`,`177`,`58`,`stretches`
`I Don't Want To Spoil The Party`,`201`,`68`,`disappointment`
`A Hard Day's Night`,`193`,`62`,`everything`
`Help!`,`228`,`76`,`independence`
`Oh! Darling`,`159`,`34`,`anymore`
`You Like Me Too Much`,`207`,`69`,`there'll`
`I Want To Hold Your Hand`,`177`,`38`,`understand`
`If I Fell`,`127`,`65`,`understand`
`Old Brown Shoe`,`243`,`115`,`thoughtless`
`Yes It Is`,`185`,`58`,`understand`
`Here Comes The Sun`,`144`,`34`,`returning`
`I Am The Walrus`,`251`,`115`,`pornographic`
`The Long And Winding Road`,`115`,`60`,`disappear`
`Doctor Robert`,`142`,`67`,`understand`
`Nowhere Man`,`126`,`62`,`somebody`
`The Inner Light`,`94`,`33`,`travelling`
`Only A Northern Song`,`185`,`69`,`listening`
`What You're Doing`,`95`,`48`,`wond'ring`
`Long, Long, Long`,`75`,`35`,`searching`
`Girl`,`196`,`90`,`understood`
`I'm A Loser`,`174`,`80`,`although`
`everybody's got something to hide except me and my monkey`,`163`,`32`,`everybody's`
`Dear Prudence`,`114`,`52`,`everything`
`Julia`,`109`,`52`,`meaningless`
`It's Only Love`,`126`,`52`,`butterflies`
`Octopus's Garden`,`177`,`76`,`octopus's`
`All Together Now`,`88`,`53`,`together`
`Lady Madonna`,`122`,`72`,`wednesday`
`Do You Want To Know A Secret`,`129`,`43`,`whisper`
