`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`echo_id`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`,`word_count`,`unique_word_count`,`longest_word`
`Hey Jude`,`1968`,`Past Masters Volume 2`,`McCartney`,`McCartney`,`1`,`1`,`TRDWIML13E358F19AF`,`0.5666672312959914`,`73.636`,`0.024607681205289722`,`f`,`429.92281`,`0.08855548834302031`,`major`,`4`,`-9.963`,`0.4818381508557199`,`0.49`,`14.71`,`5.88`,`2.94`,`4.41`,`3.92`,`6.37`,`199`,`80`,`nanananaaa`
`Hold Me Tight`,`1963`,`With the Beatles`,`McCartney`,`McCartney`,``,``,`TRKZLCY13E35B9BA06`,`0.7772588344114578`,`135.638`,`0.030316790510477087`,`f`,`151.90159`,`0.13055171802950497`,`major`,`4`,`-10.212`,`0.5377151730667626`,`8.29`,`13.47`,`2.07`,`1.55`,`10.88`,`2.07`,`1.04`,`173`,`40`,`to-night`
`Honey Pie`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`TRCNCJC13E35B65588`,`0.2920510317118028`,`71.618`,`0.07346440161330209`,`g`,`161.14893`,`0.15760161093070638`,`major`,`4`,`-16.221`,`0.6495404746017525`,`9.29`,`15.71`,`1.43`,`3.57`,`5`,`8.57`,`7.14`,`136`,`79`,`hollywood`
`I Am the Walrus`,`1967`,`Magical Mystery Tour`,`Lennon`,`Lennon`,``,`56`,`TRRZQVJ13E35899486`,`0.5479149373065768`,`85.312`,`0.05445297878004712`,`g`,`275.85261`,`0.6385580974076615`,`major`,`4`,`-11.183`,`0.36512999983900024`,`6.54`,`11.92`,`0.77`,`2.69`,`6.92`,`10.77`,`13.08`,`251`,`115`,`pornographic`
`I Call Your Name`,`1964`,`Past Masters Volume 1`,`Lennon`,`Lennon`,``,``,`TREUIGM13E358C27FE`,`0.6769250707799447`,`125.879`,`0.030442735739071747`,`a`,`128.93995`,`0.25698901092733095`,`major`,`4`,`-7.647`,`0.6901490663688049`,`16.28`,`16.28`,`0`,`3.49`,`6.98`,`1.16`,`1.16`,`84`,`44`,`mayayake`
`I Don't Want to Spoil the Party`,`1964`,`Beatles for Sale`,`Lennon`,`Lennon`,``,`39`,`TRNEKZF13E3581B492`,`0.6790031135765817`,`95.265`,`0.0331855751522675`,`g`,`154.46159`,`0.20896325800305604`,`major`,`4`,`-7.91`,`0.5372628717499026`,`20`,`8.29`,`6.34`,`3.9`,`12.2`,`3.41`,`5.85`,`201`,`68`,`disappointment`
`I Feel Fine`,`1964`,`Past Masters Volume 1`,`Lennon`,`Lennon`,`1`,`1`,`TRODKCR13E358C5F47`,`0.7599782240344948`,`90.31`,`0.0414486914740807`,`g`,`139.67628`,`0.21904319395010602`,`major`,`4`,`-8.871`,`0.5696851359787699`,`11.83`,`33.14`,`6.51`,`0`,`5.92`,`2.37`,`2.37`,`166`,`42`,`telling`
`I Me Mine`,`1970`,`Let It Be`,`Harrison`,`Harrison`,``,``,`TRHGDQX13E3585BC92`,`0.6498278343384858`,`90.162`,`0.03575691709063733`,`a`,`145.57995`,`0.10964085515156363`,`minor`,`1`,`-8.406`,`0.3857231980117881`,`56.4`,`3.49`,`2.91`,`2.91`,`0`,`2.91`,`7.56`,`154`,`36`,`frightened`
`I Need You`,`1965`,`Help!`,`Harrison`,`Harrison`,``,``,`TRWQWML13E3582D5A5`,`0.49045802095467106`,`136.396`,`0.048813985893909284`,`e`,`148.76689`,`0.12419129557191773`,`major`,`4`,`-9.334`,`0.6018454450732462`,`15.38`,`16.24`,`0.85`,`2.56`,`13.68`,`1.71`,`5.98`,`115`,`67`,`remember`
`I Saw Her Standing There`,`1963`,`Please Please Me`,`McCartney`,`McCartney, with Lennon`,``,`14`,`TRKOGNL13E35903915`,`0.7846062449789438`,`80.056`,`0.032722173865823545`,`a`,`173.92281`,`0.0605605323099768`,`minor`,`4`,`-10.367`,`0.5419471618389897`,`15.29`,`10.59`,`1.76`,`0`,`10`,`1.76`,`8.24`,`172`,`67`,`standing`
`I Should Have Known Better`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,`8`,`53`,`TRCPIUY13E35763437`,`0.4534492937779646`,`130.697`,`0.028364644350753865`,`g`,`163.05587`,`0.12034569704183812`,`major`,`4`,`-8.377`,`0.6830636739908612`,`14.89`,`20.21`,`8.51`,`0`,`9.57`,`2.13`,`2.13`,`85`,`40`,`everything`
`I Wanna Be Your Man`,`1963`,`With the Beatles`,`McCartney`,`Starkey`,``,``,`TRAJPTO13E35B9EDC7`,`0.912147813237843`,`99.182`,`0.048755793084563015`,`b`,`119.48363`,`0.3986992771310937`,`minor`,`4`,`-8.866`,`0.5510324608801772`,`17.39`,`38.51`,`4.97`,`0`,`0.62`,`0`,`0.62`,`161`,`17`,`understand`
`I Want To Tell You`,`1966`,`Revolver`,`Harrison`,`Harrison`,``,``,`TREXDHS13E35A497C1`,`0.5059263231753488`,`127.017`,`0.030318367916352673`,`a`,`147.9571`,`0.12965245170679712`,`major`,`4`,`-9.856`,`0.5086671522798067`,`18.98`,`12.41`,`0`,`0.73`,`18.98`,`0.73`,`3.65`,`137`,`67`,`understand`
`I Want You (She's So Heavy)`,`1969`,`Abbey Road`,`Lennon`,`Lennon`,``,``,`TRSFHXY13E357E09B7`,`0.518776972451599`,`115.771`,`0.032035047819345075`,`a`,`467.30404`,`0.12151550317581353`,`minor`,`4`,`-10.067`,`0.3866637722956171`,`16.67`,`22.22`,`0`,`11.11`,`11.11`,`0`,`5.56`,`18`,`11`,`driving`
`I Want to Hold Your Hand`,`1963`,`Past Masters Volume 1`,`Lennon and McCartney`,`Lennon and McCartney`,`1`,`1`,`TRQYQJV13E358BBD3A`,`0.7427290340558669`,`130.917`,`0.039482194738239385`,`g`,`146.52036`,`0.34247762180086316`,`major`,`4`,`-7.174`,`0.49294763266912944`,`18.78`,`16.02`,`2.21`,`0`,`16.57`,`1.1`,`6.08`,`177`,`38`,`understand`
`I Will`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`TRHYAVG13E35B2C888`,`0.37814640229596436`,`102.982`,`0.0258661644845663`,`f`,`105.92608`,`0.07101867104655796`,`major`,`4`,`-12.19`,`0.6382815717950213`,`14.29`,`18.75`,`6.25`,`0.89`,`9.82`,`3.57`,`5.36`,`111`,`64`,`lifetime`
`I'll Be Back`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,``,``,`TRTXAHQ13E357BE7EA`,`0.5310287921768376`,`124.034`,`0.030232800651889713`,`a`,`144.16934`,`0.22503540701205355`,`major`,`4`,`-7.955`,`0.7317409764712426`,`14.55`,`11.52`,`2.42`,`1.21`,`15.76`,`1.82`,`3.64`,`148`,`59`,`surprise`
`I'll Cry Instead`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon`,``,`25`,`TRVQBAP13E357B0143`,`0.7343197247052012`,`96.84`,`0.03766437863730182`,`g`,`105.97832`,`0.30249855094262473`,`major`,`4`,`-7.583`,`0.6226910541943279`,`17.81`,`10.27`,`1.37`,`5.48`,`8.9`,`2.74`,`4.79`,`145`,`92`,`shoulder`
`I'll Follow the Sun`,`1964`,`Beatles for Sale`,`McCartney`,`McCartney`,``,``,`TRVFNYF13E35811021`,`0.3170301383896063`,`133.937`,`0.03509409960415566`,`g`,`108.85179`,`0.15800836171709928`,`major`,`4`,`-10.842`,`0.6857854057140056`,`11.81`,`6.3`,`1.57`,`1.57`,`8.66`,`9.45`,`3.94`,`123`,`40`,`tomorrow`
`I'm Down`,`1965`,`Past Masters Volume 1`,`McCartney`,`McCartney`,``,``,`TRYPGBP13E358D206B`,`0.8247526472904865`,`82.194`,`0.06017632686686186`,`g`,`153.86077`,`0.8377240686721874`,`major`,`4`,`-8.934`,`0.4375735985689529`,`17.13`,`13.81`,`3.87`,`2.21`,`9.94`,`2.21`,`3.87`,`181`,`52`,`yourself`
`I'm Happy Just to Dance with You`,`1964`,`A Hard Day's Night`,`Lennon`,`Harrison`,``,`95`,`TREAOBS13E3579573D`,`0.6162055019459428`,`132.085`,`0.03807198668549544`,`e`,`116.34893`,`0.06039466660983556`,`major`,`4`,`-8.189`,`0.6565059454147064`,`15.28`,`12.66`,`5.68`,`0`,`13.54`,`0`,`8.73`,`229`,`60`,`discovered`
`I'm Looking Through You`,`1965`,`Rubber Soul`,`McCartney`,`McCartney`,``,``,`TRMIBID13E35A965D9`,`0.5025141999907128`,`85.861`,`0.03502923406873715`,`c#`,`146.36363`,`0.04431398640517696`,`major`,`4`,`-11.6`,`0.6707861022347483`,`12.27`,`17.79`,`1.23`,`1.23`,`11.66`,`5.52`,`16.56`,`161`,`63`,`disappearing`
`I'm Only Sleeping`,`1966`,`Revolver`,`Lennon`,`Lennon`,``,``,`TRTGRWT13E35925BDA`,`0.4984717050257251`,`103.28`,`0.02795956761830176`,`d#`,`180.29669`,`0.26631675906507346`,`minor`,`4`,`-10.284`,`0.512649286683996`,`16.75`,`1.57`,`0`,`1.57`,`4.71`,`6.81`,`10.99`,`187`,`74`,`everywhere`
`I'm So Tired`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`TRIKIJN13E35B16F9C`,`0.4754211555288226`,`70.188`,`0.24805021325539056`,`a`,`123.48036`,`0.40425453220693014`,`major`,`4`,`-10.135`,`0.433864572147913`,`19.55`,`12.03`,`0.75`,`1.5`,`13.53`,`3.76`,`6.02`,`127`,`73`,`everything`
`I'm a Loser`,`1964`,`Beatles for Sale`,`Lennon`,`Lennon`,``,``,`TRZKKQM13E3580B2C6`,`0.6518351335860957`,`90.146`,`0.04220784595669608`,`c`,`150.02077`,`0.330514841988767`,`major`,`4`,`-8.536`,`0.4907860215562835`,`19.15`,`7.45`,`3.72`,`7.98`,`6.38`,`9.04`,`6.38`,`174`,`80`,`although`
`I've Got a Feeling`,`1969`,`Let It Be`,`McCartney`,`McCartney, with Lennon`,`2`,`1`,`TRPWRJX13E3586AFF7`,`0.5956244867649308`,`82.84`,`0.02620319942533894`,`d`,`217.5473`,`0.6150715102479493`,`major`,`4`,`-9.417`,`0.564615462380061`,`8.97`,`5.52`,`1.38`,`1.38`,`7.59`,`8.28`,`13.79`,`119`,`69`,`wondering`
`I've Just Seen a Face`,`1965`,`Help!`,`McCartney`,`McCartney`,``,``,`TRZZDKK13E3584594C`,`0.5819217819725493`,`120.674`,`0.03804784532451494`,`a`,`125.02159`,`0.10527089982834252`,`major`,`4`,`-9.536`,`0.6815659695999359`,`13.33`,`12.38`,`0`,`0.95`,`4.29`,`4.76`,`10.48`,`188`,`67`,`tonight`
`If I Fell`,`1964`,`A Hard Day's Night`,`Lennon`,`Lennon and McCartney`,``,`53`,`TRKCMIN13E35792A71`,`0.3162450060504682`,`108.173`,`0.027954893228751776`,`d`,`139.44118`,`0.0868472668023261`,`major`,`4`,`-9.765`,`0.6806447987101137`,`13.95`,`13.18`,`10.85`,`3.88`,`15.5`,`1.55`,`3.1`,`127`,`65`,`understand`
`If I Needed Someone`,`1965`,`Rubber Soul`,`Harrison`,`Harrison`,``,``,`TRIQBFX13E35AA0B51`,`0.8204827286764127`,`127.426`,`0.037265620573094904`,`d`,`142.2624`,`0.14007076232086368`,`major`,`4`,`-9.869`,`0.48762155380079003`,`14.19`,`14.19`,`2.03`,`0`,`12.84`,`2.03`,`4.73`,`140`,`54`,`thinking`
`In My Life`,`1965`,`Rubber Soul`,`Lennon`,`Lennon`,``,``,`TRKATQG13E35A99CF2`,`0.550865645122956`,`103.198`,`0.050864401425397054`,`b`,`146.31138`,`0.11084783772461977`,`minor`,`4`,`-11.875`,`0.7076119352483837`,`15.38`,`16.24`,`0.85`,`2.56`,`13.68`,`1.71`,`5.98`,`115`,`67`,`remember`
`It Won't Be Long`,`1963`,`With the Beatles`,`Lennon`,`Lennon`,``,``,`TRUWVRE13E35B87258`,`0.6830199769931015`,`133.739`,`0.0379414394262334`,`c#`,`133.38077`,`0.20791528351014202`,`minor`,`4`,`-9.387`,`0.3696800492935719`,`13.97`,`9.56`,`2.94`,`2.94`,`7.35`,`0.74`,`2.21`,`136`,`56`,`ev'rybody`
`It's All Too Much`,`1967`,`Yellow Submarine`,`Harrison`,`Harrison`,``,``,`TRBAZXG13E35BC0771`,`0.769888766065523`,`113.579`,`0.03741539577240799`,`g`,`384.9922`,`0.08728915749644228`,`major`,`4`,`-8.388`,`0.40097199761918373`,`9.05`,`4.76`,`3.33`,`0`,`4.29`,`6.19`,`5.24`,`205`,`73`,`everywhere`
`It's Only Love`,`1965`,`Help!`,`Lennon`,`Lennon`,``,``,`TRBRLKG13E3583B091`,`0.5775514073092053`,`113.139`,`0.026439550955766444`,`c`,`116.47955`,`0.054365150535027405`,`major`,`3`,`-8.828`,`0.630889459053231`,`11.02`,`8.66`,`8.66`,`1.57`,`7.09`,`3.15`,`2.36`,`126`,`52`,`butterflies`
`Julia`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`TRKMWMZ13E35B309B6`,`0.0775848187082068`,`94.446`,`0.031889853144768776`,`d`,`176.63955`,`0.11201649777854472`,`major`,`3`,`-16.845`,`0.36247621821432746`,`13.91`,`6.96`,`5.22`,`0`,`2.61`,`5.22`,`6.96`,`109`,`52`,`meaningless`
`Lady Madonna`,`1968`,`Past Masters Volume 2`,`McCartney`,`McCartney`,`1`,`4`,`TRMWYBT13E358E3F9B`,`0.7951346074602825`,`109.1`,`0.03165617082877559`,`a`,`137.56036`,`0.17298244579148378`,`minor`,`4`,`-8.301`,`0.6356680645752201`,`0`,`21.77`,`1.61`,`0`,`15.32`,`5.65`,`17.74`,`122`,`72`,`wednesday`
`Let It Be`,`1969`,`Let It Be`,`McCartney`,`McCartney`,``,``,`TRMUXTO13E35863752`,`0.3995596387470289`,`69.845`,`0.03374841323551331`,`c`,`243.01669`,`0.10909427972748416`,`major`,`4`,`-8.939`,`0.48207023151287426`,`3.31`,`3.72`,`3.31`,`0.41`,`2.89`,`4.13`,`4.96`,`240`,`62`,`standing`
`Little Child`,`1963`,`With the Beatles`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`TRHCHLL13E35B943E2`,`0.8672286537855279`,`75.693`,`0.04611179307937713`,`a`,`106.39628`,`0.39209002072938404`,`major`,`4`,`-9.146`,`0.5277586090085987`,`10.53`,`17.89`,`1.05`,`4.21`,`2.11`,`3.16`,`1.05`,`93`,`43`,`someone`
`Long, Long, Long`,`1968`,`The Beatles`,`Harrison`,`Harrison`,``,``,`TRVXQSJ13E35B5B594`,`0.13005656429280296`,`105.757`,`0.029904809583928382`,`f`,`186.30485`,`0.19905934729412317`,`major`,`3`,`-16.697`,`0.3604019002704658`,`16.05`,`14.81`,`6.17`,`3.7`,`12.35`,`2.47`,`3.7`,`75`,`35`,`searching`
`Love Me Do`,`1962`,`Please Please Me`,`McCartney`,`Lennon and McCartney`,`4`,`1`,`TREWRLT13E35910879`,`0.8215051484146324`,`73.913`,`0.05413640292096439`,`d`,`141.68771`,`0.1662972936616072`,`major`,`4`,`-6.897`,`0.5757869785651112`,`20.72`,`11.71`,`27.03`,`0`,`3.6`,`0`,`3.6`,`110`,`19`,`somebody`
`Love You To`,`1966`,`Revolver`,`Harrison`,`Harrison`,``,``,`TRECLOI13E35929EA9`,`0.5881292766861769`,`123.717`,`0.04184813303885204`,`f`,`179.80036`,`0.08288634875624006`,`major`,`3`,`-9.571`,`0.3495069038519883`,`7.78`,`13.33`,`4.44`,`1.11`,`5.56`,`6.67`,`5.56`,`86`,`67`,`lifetime`
`Lovely Rita`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney`,``,``,`TRVXXHM13E35AD05B8`,`0.4657372591378774`,`87.949`,`0.026701890727411914`,`g#`,`162.08934`,`0.15435993010864069`,`major`,`4`,`-9.847`,`0.6128140956632945`,`6.45`,`12.26`,`5.16`,`0`,`3.23`,`7.74`,`7.74`,`145`,`89`,`discreetly`
`Lucy in the Sky with Diamonds`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon`,`Lennon`,``,``,`TRRIIWD13E35AB1046`,`0.3223973054298583`,`95.779`,`0.02647651761729103`,`d`,`208.45669`,`0.14839973624814792`,`major`,`4`,`-9.692`,`0.36004210164906353`,`0`,`12.05`,`0.6`,`0`,`1.81`,`13.25`,`19.88`,`159`,`87`,`kaleidoscope`
`Maggie Mae`,`1969`,`Let It Be`,`Lennon, McCartney, Harrison and Starkey`,`Lennon`,``,``,`TRTMSTD13E35865E2E`,`0.5678782857369357`,`84.646`,`0.13251558223879295`,`c`,`40.01914`,`0.10070848815001218`,`major`,`4`,`-12.795`,`0.6641527706782105`,`3.51`,`10.53`,`1.75`,`1.75`,`1.75`,`7.02`,`10.53`,`53`,`43`,`liverpool`
`Magical Mystery Tour`,`1967`,`Magical Mystery Tour`,`McCartney`,`McCartney`,``,``,`TRYCVXV13E35881B93`,`0.6208615049278754`,`85.972`,`0.057888846977930564`,`a`,`170.08281`,`0.11294266568000229`,`major`,`4`,`-9.637`,`0.32456423237787824`,`0.54`,`6.49`,`1.62`,`0`,`2.7`,`10.81`,`16.76`,`183`,`28`,`satisfaction`
`Martha My Dear`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`TRCTFTK13E35B0D55D`,`0.2808782570445286`,`89.295`,`0.02931924928906443`,`a#`,`148.55791`,`0.13554740977245466`,`major`,`4`,`-12.281`,`0.6414085700950647`,`10.64`,`18.44`,`11.35`,`3.55`,`9.93`,`4.26`,`4.96`,`137`,`58`,`conversation`
`Maxwell's Silver Hammer`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`TRMZDWZ13E357CD848`,`0.435824426194993`,`65.62`,`0.04499204600700574`,`d`,`207.90812`,`0.12404409582486624`,`major`,`4`,`-11.66`,`0.7796227604711692`,`1.23`,`10.66`,`3.28`,`2.46`,`4.1`,`6.15`,`13.11`,`214`,`114`,`metaphysical`
`Mean Mr. Mustard`,`1969`,`Abbey Road`,`Lennon`,`Lennon`,``,``,`TRPUEQI13E357F3E59`,`0.5822909269312748`,`100.441`,`0.028440709260528274`,`b`,`66.5073`,`0.3784619606423337`,`major`,`4`,`-9.671`,`0.6796889229401206`,`0`,`12.22`,`0`,`0`,`2.22`,`12.22`,`5.56`,`81`,`55`,`go-getter`
`Michelle`,`1965`,`Rubber Soul`,`McCartney`,`McCartney`,``,``,`TREZOSX13E35A8B9E5`,`0.2777621795263283`,`117.165`,`0.03512804517544621`,`f`,`162.35057`,`0.10380353498697155`,`minor`,`4`,`-13.176`,`0.5976791906342251`,`20.15`,`17.16`,`3.73`,`0`,`15.67`,`2.24`,`8.96`,`132`,`53`,`understand`
`Misery`,`1963`,`Please Please Me`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`TRPCMAD13E359061D9`,`0.6344445217792567`,`133.385`,`0.03892086654062443`,`c`,`108.53832`,`0.2368288319783122`,`major`,`4`,`-11.608`,`0.573902170376358`,`10.94`,`12.5`,`0.78`,`10.16`,`9.38`,`5.47`,`7.03`,`121`,`60`,`remember`
`Mother Nature's Son`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`TRDNZUC13E35B3E931`,`0.17963745524295058`,`84.805`,`0.026175913917777016`,`d`,`168.01914`,`0.18238144089186553`,`major`,`4`,`-17.74`,`0.6004187272997453`,`5.08`,`18.64`,`0`,`0`,`5.08`,`8.47`,`18.64`,`56`,`48`,`everyone`
`No Reply`,`1964`,`Beatles for Sale`,`Lennon`,`Lennon, with McCartney`,``,``,`TRCUGIG13E3580749C`,`0.5907122583580304`,`124.166`,`0.03654384902494606`,`c`,`136.04526`,`0.1212574866328728`,`major`,`4`,`-10.593`,`0.71211896893908`,`14.79`,`21.89`,`1.18`,`1.78`,`12.43`,`2.96`,`4.73`,`167`,`70`,`telephone`
`Norwegian Wood (This Bird Has Flown)`,`1965`,`Rubber Soul`,`Lennon`,`Lennon`,``,``,`TRRXPHP13E35A57FC6`,`0.34106225716430644`,`88.872`,`0.031090202160897695`,`e`,`124.682`,`0.11175100027636643`,`major`,`3`,`-12.408`,`0.59914866798875`,`14.53`,`16.24`,`2.56`,`0.85`,`0.85`,`5.13`,`7.69`,`113`,`68`,`norwegian`
`Not a Second Time`,`1963`,`With the Beatles`,`Lennon`,`Lennon`,``,``,`TRLBLCV13E35BA1FA3`,`0.8394637900923133`,`124.848`,`0.03745268942693869`,`d`,`126.82404`,`0.45437988844477356`,`major`,`4`,`-10.509`,`0.47255301115612713`,`15.25`,`15.25`,`1.69`,`6.78`,`11.86`,`3.39`,`6.78`,`56`,`40`,`wond'ring`
`Nowhere Man`,`1965`,`Rubber Soul`,`Lennon`,`Lennon`,``,`3`,`TRZUKLT13E35A7FBF9`,`0.631156362960426`,`121.421`,`0.04190587069640073`,`e`,`163.68281`,`0.09370503410234048`,`major`,`4`,`-10.266`,`0.5333683206750423`,`2.26`,`22.56`,`0`,`1.5`,`6.02`,`6.02`,`13.53`,`126`,`62`,`somebody`
`Ob-La-Di, Ob-La-Da`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,`49`,`TRXFVAL13E35AF8D89`,`0.744209869467693`,`113.117`,`0.03276849992692432`,`d#`,`188.94322`,`0.24512790523767086`,`major`,`4`,`-8.86`,`0.8267275057622363`,`1.2`,`11.38`,`2.4`,`0`,`3.59`,`12.57`,`5.99`,`152`,`84`,`molly-girl`
`Octopus's Garden`,`1969`,`Abbey Road`,`Starkey`,`Starkey`,``,``,`TRXGNXL13E357D6471`,`0.5155224924276665`,`92.341`,`0.025545335220866938`,`c#`,`170.70975`,`0.19849187895520912`,`minor`,`4`,`-9.815`,`0.6245405004082367`,`10.61`,`12.85`,`5.03`,`1.12`,`6.7`,`11.73`,`10.61`,`177`,`76`,`octopus's`
`Oh! Darling`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`TREXQWL13E357D26B9`,`0.6445313682853706`,`87.135`,`0.030066167689752787`,`e`,`207.22893`,`0.3345587559011792`,`major`,`1`,`-8.931`,`0.6069097652105662`,`19.51`,`18.9`,`3.05`,`3.05`,`9.76`,`0`,`9.15`,`159`,`34`,`anymore`
`Old Brown Shoe`,`1969`,`Past Masters Volume 2`,`Harrison`,`Harrison`,``,``,`TRMAVEV13E358FFA95`,`0.7688181972945101`,`142.838`,`0.08587453330069827`,`c`,`198.63465`,`0.1638870575999003`,`major`,`4`,`-10.252`,`0.5289466368530304`,`13.01`,`13.41`,`7.32`,`2.03`,`5.28`,`4.07`,`6.91`,`243`,`115`,`thoughtless`
`One After 909`,`1969`,`Let It Be`,`Lennon`,`Lennon and McCartney`,``,``,`TRLDKQN13E3586EE6E`,`0.821389132541139`,`91.081`,`0.06421611836379082`,`f#`,`173.94893`,`0.9377028952336266`,`minor`,`4`,`-7.104`,`0.5469091579828915`,`15.87`,`15.34`,`0`,`1.06`,`0.53`,`5.82`,`7.41`,`191`,`61`,`travelling`
`Only a Northern Song`,`1967`,`Yellow Submarine`,`Harrison`,`Harrison`,``,``,`TRTMWKT13E35BAFF29`,`0.7367697615258104`,`104.071`,`0.04925683743680631`,`a`,`204.48608`,`0.07864822460323571`,`major`,`4`,`-8.862`,`0.2780610329816304`,`6.81`,`9.42`,`3.66`,`0.52`,`10.47`,`4.71`,`9.95`,`185`,`69`,`listening`
`P.S. I Love You`,`1962`,`Please Please Me`,`McCartney`,`McCartney`,`4`,`10`,`TROBCJJ13E3591366D`,`0.6820429092060364`,`134.427`,`0.030337042485550747`,`d`,`124.3424`,`0.08399061266704393`,`major`,`4`,`-9.156`,`0.6419923197368638`,`15.09`,`20.75`,`13.84`,`0`,`3.14`,`1.26`,`5.66`,`156`,`38`,`treasure`
`Paperback Writer`,`1966`,`Past Masters Volume 2`,`McCartney`,`McCartney`,`1`,`1`,`TRAODNW13E358DC99D`,`0.7320075805419796`,`78.723`,`0.06417993798319904`,`g`,`138.55302`,`0.6200973255647528`,`major`,`4`,`-8.938`,`0.540250565327273`,`5.49`,`9.34`,`1.1`,`0`,`8.24`,`10.44`,`13.19`,`167`,`82`,`understand`
